source,target,distance
P0001,P0002,4.000
P0002,P0003,5.000
P0003,P0004,6.000
P0004,P0005,7.000
P0005,P0006,8.000
P0006,P0007,9.000
P0007,P0008,10.000
P0008,P0009,11.000
P0009,P0010,4.000
P0010,P0011,5.000
P0011,P0012,6.000
P0012,P0013,7.000
P0013,P0014,8.000
P0014,P0015,9.000
P0015,P0016,10.000
P0016,P0017,11.000
P0017,P0018,4.000
P0018,P0019,5.000
P0019,P0020,6.000
P0020,P0021,7.000
P0021,P0022,8.000
P0022,P0023,9.000
P0023,P0024,10.000
P0024,P0025,11.000
P0025,P0026,4.000
P0026,P0027,5.000
P0027,P0028,6.000
P0028,P0029,7.000
P0029,P0030,8.000
P0030,P0031,9.000
P0031,P0032,10.000
P0032,P0033,11.000
P0033,P0034,4.000
P0034,P0035,5.000
P0035,P0036,6.000
P0036,P0037,7.000
P0037,P0038,8.000
P0038,P0039,9.000
P0039,P0040,10.000
P0040,P0041,11.000
P0041,P0042,4.000
P0042,P0043,5.000
P0043,P0044,6.000
P0044,P0045,7.000
P0045,P0046,8.000
P0046,P0047,9.000
P0047,P0048,10.000
P0048,P0049,11.000
P0049,P0050,4.000
P0050,P0051,5.000
P0051,P0052,6.000
P0052,P0053,7.000
P0053,P0054,8.000
P0054,P0055,9.000
P0055,P0056,10.000
P0056,P0057,11.000
P0057,P0058,4.000
P0058,P0059,5.000
P0059,P0060,6.000
P0060,P0061,7.000
P0061,P0062,8.000
P0062,P0063,9.000
P0063,P0064,10.000
P0064,P0065,11.000
P0065,P0066,4.000
P0066,P0067,5.000
P0067,P0068,6.000
P0068,P0069,7.000
P0069,P0070,8.000
P0070,P0071,9.000
P0071,P0072,10.000
P0072,P0073,11.000
P0073,P0074,4.000
P0074,P0075,5.000
P0075,P0076,6.000
P0076,P0077,7.000
P0077,P0078,8.000
P0078,P0079,9.000
P0079,P0080,10.000
P0080,P0081,11.000
P0081,P0082,4.000
P0082,P0083,5.000
P0083,P0084,6.000
P0084,P0085,7.000
P0085,P0086,8.000
P0086,P0087,9.000
P0087,P0088,10.000
P0088,P0089,11.000
P0089,P0090,4.000
P0090,P0091,5.000
P0091,P0092,6.000
P0092,P0093,7.000
P0093,P0094,8.000
P0094,P0095,9.000
P0095,P0096,10.000
P0096,P0097,11.000
P0097,P0098,4.000
P0098,P0099,5.000
P0099,P0100,6.000
P0100,P0101,7.000
P0101,P0102,8.000
P0102,P0103,9.000
P0103,P0104,10.000
P0104,P0105,11.000
P0105,P0106,4.000
P0106,P0107,5.000
P0107,P0108,6.000
P0108,P0109,7.000
P0109,P0110,8.000
P0110,P0111,9.000
P0111,P0112,10.000
P0112,P0113,11.000
P0113,P0114,4.000
P0114,P0115,5.000
P0115,P0116,6.000
P0116,P0117,7.000
P0117,P0118,8.000
P0118,P0119,9.000
P0119,P0120,10.000
P0120,P0121,11.000
P0121,P0122,4.000
P0122,P0123,5.000
P0123,P0124,6.000
P0124,P0125,7.000
P0125,P0126,8.000
P0126,P0127,9.000
P0127,P0128,10.000
P0128,P0129,11.000
P0129,P0130,4.000
P0130,P0131,5.000
P0131,P0132,6.000
P0132,P0133,7.000
P0133,P0134,8.000
P0134,P0135,9.000
P0135,P0136,10.000
P0136,P0137,11.000
P0137,P0138,4.000
P0138,P0139,5.000
P0139,P0140,6.000
P0140,P0141,7.000
P0141,P0142,8.000
P0142,P0143,9.000
P0143,P0144,10.000
P0144,P0145,11.000
P0145,P0146,4.000
P0146,P0147,5.000
P0147,P0148,6.000
P0148,P0149,7.000
P0149,P0150,8.000
P0150,P0151,9.000
P0151,P0152,10.000
P0152,P0153,11.000
P0153,P0154,4.000
P0154,P0155,5.000
P0155,P0156,6.000
P0156,P0157,7.000
P0157,P0158,8.000
P0158,P0159,9.000
P0159,P0160,10.000
P0160,P0161,11.000
P0161,P0162,4.000
P0162,P0163,5.000
P0163,P0164,6.000
P0164,P0165,7.000
P0165,P0166,8.000
P0166,P0167,9.000
P0167,P0168,10.000
P0168,P0169,11.000
P0169,P0170,4.000
P0170,P0171,5.000
P0171,P0172,6.000
P0172,P0173,7.000
P0173,P0174,8.000
P0174,P0175,9.000
P0175,P0176,10.000
P0176,P0177,11.000
P0177,P0178,4.000
P0178,P0179,5.000
P0179,P0180,6.000
P0180,P0181,7.000
P0181,P0182,8.000
P0182,P0183,9.000
P0183,P0184,10.000
P0184,P0185,11.000
P0185,P0186,4.000
P0186,P0187,5.000
P0187,P0188,6.000
P0188,P0189,7.000
P0189,P0190,8.000
P0190,P0191,9.000
P0191,P0192,10.000
P0192,P0193,11.000
P0193,P0194,4.000
P0194,P0195,5.000
P0195,P0196,6.000
P0196,P0197,7.000
P0197,P0198,8.000
P0198,P0199,9.000
P0199,P0200,10.000
P0200,P0201,11.000
P0201,P0202,4.000
P0202,P0203,5.000
P0203,P0204,6.000
P0204,P0205,7.000
P0205,P0206,8.000
P0206,P0207,9.000
P0207,P0208,10.000
P0208,P0209,11.000
P0209,P0210,4.000
P0210,P0211,5.000
P0211,P0212,6.000
P0212,P0213,7.000
P0213,P0214,8.000
P0214,P0215,9.000
P0215,P0216,10.000
P0216,P0217,11.000
P0217,P0218,4.000
P0218,P0219,5.000
P0219,P0220,6.000
P0220,P0221,7.000
P0221,P0222,8.000
P0222,P0223,9.000
P0223,P0224,10.000
P0224,P0225,11.000
P0225,P0226,4.000
P0226,P0227,5.000
P0227,P0228,6.000
P0228,P0229,7.000
P0229,P0230,8.000
P0230,P0231,9.000
P0231,P0232,10.000
P0232,P0233,11.000
P0233,P0234,4.000
P0234,P0235,5.000
P0235,P0236,6.000
P0236,P0237,7.000
P0237,P0238,8.000
P0238,P0239,9.000
P0239,P0240,10.000
P0240,P0241,11.000
P0241,P0242,4.000
P0242,P0243,5.000
P0243,P0244,6.000
P0244,P0245,7.000
P0245,P0246,8.000
P0246,P0247,9.000
P0247,P0248,10.000
P0248,P0249,11.000
P0249,P0250,4.000
P0250,P0251,5.000
P0251,P0252,6.000
P0252,P0253,7.000
P0253,P0254,8.000
P0254,P0255,9.000
P0255,P0256,10.000
P0256,P0257,11.000
P0257,P0258,4.000
P0258,P0259,5.000
P0259,P0260,6.000
P0260,P0261,7.000
P0261,P0262,8.000
P0262,P0263,9.000
P0263,P0264,10.000
P0264,P0265,11.000
P0265,P0266,4.000
P0266,P0267,5.000
P0267,P0268,6.000
P0268,P0269,7.000
P0269,P0270,8.000
P0270,P0271,9.000
P0271,P0272,10.000
P0272,P0273,11.000
P0273,P0274,4.000
P0274,P0275,5.000
P0275,P0276,6.000
P0276,P0277,7.000
P0277,P0278,8.000
P0278,P0279,9.000
P0279,P0280,10.000
P0280,P0281,11.000
P0281,P0282,4.000
P0282,P0283,5.000
P0283,P0284,6.000
P0284,P0285,7.000
P0285,P0286,8.000
P0286,P0287,9.000
P0287,P0288,10.000
P0288,P0289,11.000
P0289,P0290,4.000
P0290,P0291,5.000
P0291,P0292,6.000
P0292,P0293,7.000
P0293,P0294,8.000
P0294,P0295,9.000
P0295,P0296,10.000
P0296,P0297,11.000
P0297,P0298,4.000
P0298,P0299,5.000
P0299,P0300,6.000
P0300,P0301,7.000
P0301,P0302,8.000
P0302,P0303,9.000
P0303,P0304,10.000
P0304,P0305,11.000
P0305,P0306,4.000
P0306,P0307,5.000
P0307,P0308,6.000
P0308,P0309,7.000
P0309,P0310,8.000
P0310,P0311,9.000
P0311,P0312,10.000
P0312,P0313,11.000
P0313,P0314,4.000
P0314,P0315,5.000
P0315,P0316,6.000
P0316,P0317,7.000
P0317,P0318,8.000
P0318,P0319,9.000
P0319,P0320,10.000
P0320,P0321,11.000
P0321,P0322,4.000
P0322,P0323,5.000
P0323,P0324,6.000
P0324,P0325,7.000
P0325,P0326,8.000
P0326,P0327,9.000
P0327,P0328,10.000
P0328,P0329,11.000
P0329,P0330,4.000
P0330,P0331,5.000
P0331,P0332,6.000
P0332,P0333,7.000
P0333,P0334,8.000
P0334,P0335,9.000
P0335,P0336,10.000
P0336,P0337,11.000
P0337,P0338,4.000
P0338,P0339,5.000
P0339,P0340,6.000
P0340,P0341,7.000
P0341,P0342,8.000
P0342,P0343,9.000
P0343,P0344,10.000
P0344,P0345,11.000
P0345,P0346,4.000
P0346,P0347,5.000
P0347,P0348,6.000
P0348,P0349,7.000
P0349,P0350,8.000
P0350,P0351,9.000
P0351,P0352,10.000
P0352,P0353,11.000
P0353,P0354,4.000
P0354,P0355,5.000
P0355,P0356,6.000
P0356,P0357,7.000
P0357,P0358,8.000
P0358,P0359,9.000
P0359,P0360,10.000
P0360,P0361,11.000
P0361,P0362,4.000
P0362,P0363,5.000
P0363,P0364,6.000
P0364,P0365,7.000
P0365,P0366,8.000
P0366,P0367,9.000
P0367,P0368,10.000
P0368,P0369,11.000
P0369,P0370,4.000
P0370,P0371,5.000
P0371,P0372,6.000
P0372,P0373,7.000
P0373,P0374,8.000
P0374,P0375,9.000
P0375,P0376,10.000
P0376,P0377,11.000
P0377,P0378,4.000
P0378,P0379,5.000
P0379,P0380,6.000
P0380,P0381,7.000
P0381,P0382,8.000
P0382,P0383,9.000
P0383,P0384,10.000
P0384,P0385,11.000
P0385,P0386,4.000
P0386,P0387,5.000
P0387,P0388,6.000
P0388,P0389,7.000
P0389,P0390,8.000
P0390,P0391,9.000
P0391,P0392,10.000
P0392,P0393,11.000
P0393,P0394,4.000
P0394,P0395,5.000
P0395,P0396,6.000
P0396,P0397,7.000
P0397,P0398,8.000
P0398,P0399,9.000
P0399,P0400,10.000
P0400,P0401,11.000
P0401,P0402,4.000
P0402,P0403,5.000
P0403,P0404,6.000
P0404,P0405,7.000
P0405,P0406,8.000
P0406,P0407,9.000
P0407,P0408,10.000
P0408,P0409,11.000
P0409,P0410,4.000
P0410,P0411,5.000
P0411,P0412,6.000
P0412,P0413,7.000
P0413,P0414,8.000
P0414,P0415,9.000
P0415,P0416,10.000
P0416,P0417,11.000
P0417,P0418,4.000
P0418,P0419,5.000
P0419,P0420,6.000
P0420,P0421,7.000
P0421,P0422,8.000
P0422,P0423,9.000
P0423,P0424,10.000
P0424,P0425,11.000
P0425,P0426,4.000
P0426,P0427,5.000
P0427,P0428,6.000
P0428,P0429,7.000
P0429,P0430,8.000
P0430,P0431,9.000
P0431,P0432,10.000
P0432,P0433,11.000
P0433,P0434,4.000
P0434,P0435,5.000
P0435,P0436,6.000
P0436,P0437,7.000
P0437,P0438,8.000
P0438,P0439,9.000
P0439,P0440,10.000
P0440,P0441,11.000
P0441,P0442,4.000
P0442,P0443,5.000
P0443,P0444,6.000
P0444,P0445,7.000
P0445,P0446,8.000
P0446,P0447,9.000
P0447,P0448,10.000
P0448,P0449,11.000
P0449,P0450,4.000
P0450,P0451,5.000
P0451,P0452,6.000
P0452,P0453,7.000
P0453,P0454,8.000
P0454,P0455,9.000
P0455,P0456,10.000
P0456,P0457,11.000
P0457,P0458,4.000
P0458,P0459,5.000
P0459,P0460,6.000
P0460,P0461,7.000
P0461,P0462,8.000
P0462,P0463,9.000
P0463,P0464,10.000
P0464,P0465,11.000
P0465,P0466,4.000
P0466,P0467,5.000
P0467,P0468,6.000
P0468,P0469,7.000
P0469,P0470,8.000
P0470,P0471,9.000
P0471,P0472,10.000
P0472,P0473,11.000
P0473,P0474,4.000
P0474,P0475,5.000
P0475,P0476,6.000
P0476,P0477,7.000
P0477,P0478,8.000
P0478,P0479,9.000
P0479,P0480,10.000
P0480,P0481,11.000
P0481,P0482,4.000
P0482,P0483,5.000
P0483,P0484,6.000
P0484,P0485,7.000
P0485,P0486,8.000
P0486,P0487,9.000
P0487,P0488,10.000
P0488,P0489,11.000
P0489,P0490,4.000
P0490,P0491,5.000
P0491,P0492,6.000
P0492,P0493,7.000
P0493,P0494,8.000
P0494,P0495,9.000
P0495,P0496,10.000
P0496,P0497,11.000
P0497,P0498,4.000
P0498,P0499,5.000
P0499,P0500,6.000
P0500,P0501,7.000
P0501,P0502,8.000
P0502,P0503,9.000
P0503,P0504,10.000
P0504,P0505,11.000
P0505,P0506,4.000
P0506,P0507,5.000
P0507,P0508,6.000
P0508,P0509,7.000
P0509,P0510,8.000
P0510,P0511,9.000
P0511,P0512,10.000
P0512,P0513,11.000
P0513,P0514,4.000
P0514,P0515,5.000
P0515,P0516,6.000
P0516,P0517,7.000
P0517,P0518,8.000
P0518,P0519,9.000
P0519,P0520,10.000
P0520,P0521,11.000
P0521,P0522,4.000
P0522,P0523,5.000
P0523,P0524,6.000
P0524,P0525,7.000
P0525,P0526,8.000
P0526,P0527,9.000
P0527,P0528,10.000
P0528,P0529,11.000
P0529,P0530,4.000
P0530,P0531,5.000
P0531,P0532,6.000
P0532,P0533,7.000
P0533,P0534,8.000
P0534,P0535,9.000
P0535,P0536,10.000
P0536,P0537,11.000
P0537,P0538,4.000
P0538,P0539,5.000
P0539,P0540,6.000
P0540,P0541,7.000
P0541,P0542,8.000
P0542,P0543,9.000
P0543,P0544,10.000
P0544,P0545,11.000
P0545,P0546,4.000
P0546,P0547,5.000
P0547,P0548,6.000
P0548,P0549,7.000
P0549,P0550,8.000
P0550,P0551,9.000
P0551,P0552,10.000
P0552,P0553,11.000
P0553,P0554,4.000
P0554,P0555,5.000
P0555,P0556,6.000
P0556,P0557,7.000
P0557,P0558,8.000
P0558,P0559,9.000
P0559,P0560,10.000
P0560,P0561,11.000
P0561,P0562,4.000
P0562,P0563,5.000
P0563,P0564,6.000
P0564,P0565,7.000
P0565,P0566,8.000
P0566,P0567,9.000
P0567,P0568,10.000
P0568,P0569,11.000
P0569,P0570,4.000
P0570,P0571,5.000
P0571,P0572,6.000
P0572,P0573,7.000
P0573,P0574,8.000
P0574,P0575,9.000
P0575,P0576,10.000
P0576,P0577,11.000
P0577,P0578,4.000
P0578,P0579,5.000
P0579,P0580,6.000
P0580,P0581,7.000
P0581,P0582,8.000
P0582,P0583,9.000
P0583,P0584,10.000
P0584,P0585,11.000
P0585,P0586,4.000
P0586,P0587,5.000
P0587,P0588,6.000
P0588,P0589,7.000
P0589,P0590,8.000
P0590,P0591,9.000
P0591,P0592,10.000
P0592,P0593,11.000
P0593,P0594,4.000
P0594,P0595,5.000
P0595,P0596,6.000
P0596,P0597,7.000
P0597,P0598,8.000
P0598,P0599,9.000
P0599,P0600,10.000
P0600,P0601,11.000
P0601,P0602,4.000
P0602,P0603,5.000
P0603,P0604,6.000
P0604,P0605,7.000
P0605,P0606,8.000
P0606,P0607,9.000
P0607,P0608,10.000
P0608,P0609,11.000
P0609,P0610,4.000
P0610,P0611,5.000
P0611,P0612,6.000
P0612,P0613,7.000
P0613,P0614,8.000
P0614,P0615,9.000
P0615,P0616,10.000
P0616,P0617,11.000
P0617,P0618,4.000
P0618,P0619,5.000
P0619,P0620,6.000
P0620,P0621,7.000
P0621,P0622,8.000
P0622,P0623,9.000
P0623,P0624,10.000
P0624,P0625,11.000
P0625,P0626,4.000
P0626,P0627,5.000
P0627,P0628,6.000
P0628,P0629,7.000
P0629,P0630,8.000
P0630,P0631,9.000
P0631,P0632,10.000
P0632,P0633,11.000
P0633,P0634,4.000
P0634,P0635,5.000
P0635,P0636,6.000
P0636,P0637,7.000
P0637,P0638,8.000
P0638,P0639,9.000
P0639,P0640,10.000
P0640,P0641,11.000
P0641,P0642,4.000
P0642,P0643,5.000
P0643,P0644,6.000
P0644,P0645,7.000
P0645,P0646,8.000
P0646,P0647,9.000
P0647,P0648,10.000
P0648,P0649,11.000
P0649,P0650,4.000
P0650,P0651,5.000
P0651,P0652,6.000
P0652,P0653,7.000
P0653,P0654,8.000
P0654,P0655,9.000
P0655,P0656,10.000
P0656,P0657,11.000
P0657,P0658,4.000
P0658,P0659,5.000
P0659,P0660,6.000
P0660,P0661,7.000
P0661,P0662,8.000
P0662,P0663,9.000
P0663,P0664,10.000
P0664,P0665,11.000
P0665,P0666,4.000
P0666,P0667,5.000
P0667,P0668,6.000
P0668,P0669,7.000
P0669,P0670,8.000
P0670,P0671,9.000
P0671,P0672,10.000
P0672,P0673,11.000
P0673,P0674,4.000
P0674,P0675,5.000
P0675,P0676,6.000
P0676,P0677,7.000
P0677,P0678,8.000
P0678,P0679,9.000
P0679,P0680,10.000
P0680,P0681,11.000
P0681,P0682,4.000
P0682,P0683,5.000
P0683,P0684,6.000
P0684,P0685,7.000
P0685,P0686,8.000
P0686,P0687,9.000
P0687,P0688,10.000
P0688,P0689,11.000
P0689,P0690,4.000
P0690,P0691,5.000
P0691,P0692,6.000
P0692,P0693,7.000
P0693,P0694,8.000
P0694,P0695,9.000
P0695,P0696,10.000
P0696,P0697,11.000
P0697,P0698,4.000
P0698,P0699,5.000
P0699,P0700,6.000
P0700,P0701,7.000
P0701,P0702,8.000
P0702,P0703,9.000
P0703,P0704,10.000
P0704,P0705,11.000
P0705,P0706,4.000
P0706,P0707,5.000
P0707,P0708,6.000
P0708,P0709,7.000
P0709,P0710,8.000
P0710,P0711,9.000
P0711,P0712,10.000
P0712,P0713,11.000
P0713,P0714,4.000
P0714,P0715,5.000
P0715,P0716,6.000
P0716,P0717,7.000
P0717,P0718,8.000
P0718,P0719,9.000
P0719,P0720,10.000
P0720,P0721,11.000
P0721,P0722,4.000
P0722,P0723,5.000
P0723,P0724,6.000
P0724,P0725,7.000
P0725,P0726,8.000
P0726,P0727,9.000
P0727,P0728,10.000
P0728,P0729,11.000
P0729,P0730,4.000
P0730,P0731,5.000
P0731,P0732,6.000
P0732,P0733,7.000
P0733,P0734,8.000
P0734,P0735,9.000
P0735,P0736,10.000
P0736,P0737,11.000
P0737,P0738,4.000
P0738,P0739,5.000
P0739,P0740,6.000
P0740,P0741,7.000
P0741,P0742,8.000
P0742,P0743,9.000
P0743,P0744,10.000
P0744,P0745,11.000
P0745,P0746,4.000
P0746,P0747,5.000
P0747,P0748,6.000
P0748,P0749,7.000
P0749,P0750,8.000
P0750,P0751,9.000
P0751,P0752,10.000
P0752,P0753,11.000
P0753,P0754,4.000
P0754,P0755,5.000
P0755,P0756,6.000
P0756,P0757,7.000
P0757,P0758,8.000
P0758,P0759,9.000
P0759,P0760,10.000
P0760,P0761,11.000
P0761,P0762,4.000
P0762,P0763,5.000
P0763,P0764,6.000
P0764,P0765,7.000
P0765,P0766,8.000
P0766,P0767,9.000
P0767,P0768,10.000
P0768,P0769,11.000
P0769,P0770,4.000
P0770,P0771,5.000
P0771,P0772,6.000
P0772,P0773,7.000
P0773,P0774,8.000
P0774,P0775,9.000
P0775,P0776,10.000
P0776,P0777,11.000
P0777,P0778,4.000
P0778,P0779,5.000
P0779,P0780,6.000
P0780,P0781,7.000
P0781,P0782,8.000
P0782,P0783,9.000
P0783,P0784,10.000
P0784,P0785,11.000
P0785,P0786,4.000
P0786,P0787,5.000
P0787,P0788,6.000
P0788,P0789,7.000
P0789,P0790,8.000
P0790,P0791,9.000
P0791,P0792,10.000
P0792,P0793,11.000
P0793,P0794,4.000
P0794,P0795,5.000
P0795,P0796,6.000
P0796,P0797,7.000
P0797,P0798,8.000
P0798,P0799,9.000
P0799,P0800,10.000
P0800,P0801,11.000
P0801,P0802,4.000
P0802,P0803,5.000
P0803,P0804,6.000
P0804,P0805,7.000
P0805,P0806,8.000
P0806,P0807,9.000
P0807,P0808,10.000
P0808,P0809,11.000
P0809,P0810,4.000
P0810,P0811,5.000
P0811,P0812,6.000
P0812,P0813,7.000
P0813,P0814,8.000
P0814,P0815,9.000
P0815,P0816,10.000
P0816,P0817,11.000
P0817,P0818,4.000
P0818,P0819,5.000
P0819,P0820,6.000
P0820,P0821,7.000
P0821,P0822,8.000
P0822,P0823,9.000
P0823,P0824,10.000
P0824,P0825,11.000
P0825,P0826,4.000
P0826,P0827,5.000
P0827,P0828,6.000
P0828,P0829,7.000
P0829,P0830,8.000
P0830,P0831,9.000
P0831,P0832,10.000
P0832,P0833,11.000
P0833,P0834,4.000
P0834,P0835,5.000
P0835,P0836,6.000
P0836,P0837,7.000
P0837,P0838,8.000
P0838,P0839,9.000
P0839,P0840,10.000
P0840,P0841,11.000
P0841,P0842,4.000
P0842,P0843,5.000
P0843,P0844,6.000
P0844,P0845,7.000
P0845,P0846,8.000
P0846,P0847,9.000
P0847,P0848,10.000
P0848,P0849,11.000
P0849,P0850,4.000
P0850,P0851,5.000
P0851,P0852,6.000
P0852,P0853,7.000
P0853,P0854,8.000
P0854,P0855,9.000
P0855,P0856,10.000
P0856,P0857,11.000
P0857,P0858,4.000
P0858,P0859,5.000
P0859,P0860,6.000
P0860,P0861,7.000
P0861,P0862,8.000
P0862,P0863,9.000
P0863,P0864,10.000
P0864,P0865,11.000
P0865,P0866,4.000
P0866,P0867,5.000
P0867,P0868,6.000
P0868,P0869,7.000
P0869,P0870,8.000
P0870,P0871,9.000
P0871,P0872,10.000
P0872,P0873,11.000
P0873,P0874,4.000
P0874,P0875,5.000
P0875,P0876,6.000
P0876,P0877,7.000
P0877,P0878,8.000
P0878,P0879,9.000
P0879,P0880,10.000
P0880,P0881,11.000
P0881,P0882,4.000
P0882,P0883,5.000
P0883,P0884,6.000
P0884,P0885,7.000
P0885,P0886,8.000
P0886,P0887,9.000
P0887,P0888,10.000
P0888,P0889,11.000
P0889,P0890,4.000
P0890,P0891,5.000
P0891,P0892,6.000
P0892,P0893,7.000
