_id,seq_id,source_sequence,mutant_index,source_index,source_location,sample_date,generator,mutation_rate,years,distribution
HIVD01_0,HIVD01_0,HIVD01,0,1,Atlanta,2024-01-01,dunes,0.0041,0.25,hiv
HIVD01_1,HIVD01_1,HIVD01,1,1,Atlanta,2024-01-02,dunes,0.0041,0.25,hiv
HIVD01_2,HIVD01_2,HIVD01,2,1,Atlanta,2024-01-03,dunes,0.0041,0.25,hiv
HIVD01_3,HIVD01_3,HIVD01,3,1,Atlanta,2024-01-04,dunes,0.0041,0.25,hiv
HIVD01_4,HIVD01_4,HIVD01,4,1,Atlanta,2024-01-05,dunes,0.0041,0.25,hiv
HIVD01_5,HIVD01_5,HIVD01,5,1,Atlanta,2024-01-06,dunes,0.0041,0.25,hiv
HIVD01_6,HIVD01_6,HIVD01,6,1,Atlanta,2024-01-07,dunes,0.0041,0.25,hiv
HIVD01_7,HIVD01_7,HIVD01,7,1,Atlanta,2024-01-08,dunes,0.0041,0.25,hiv
HIVD01_8,HIVD01_8,HIVD01,8,1,Atlanta,2024-01-09,dunes,0.0041,0.25,hiv
HIVD01_9,HIVD01_9,HIVD01,9,1,Atlanta,2024-01-10,dunes,0.0041,0.25,hiv
HIVD01_10,HIVD01_10,HIVD01,10,1,Atlanta,2024-01-11,dunes,0.0041,0.25,hiv
HIVD01_11,HIVD01_11,HIVD01,11,1,Atlanta,2024-01-12,dunes,0.0041,0.25,hiv
HIVD01_12,HIVD01_12,HIVD01,12,1,Atlanta,2024-01-13,dunes,0.0041,0.25,hiv
HIVD01_13,HIVD01_13,HIVD01,13,1,Atlanta,2024-01-14,dunes,0.0041,0.25,hiv
HIVD01_14,HIVD01_14,HIVD01,14,1,Atlanta,2024-01-15,dunes,0.0041,0.25,hiv
HIVD01_15,HIVD01_15,HIVD01,15,1,Atlanta,2024-01-16,dunes,0.0041,0.25,hiv
HIVD01_16,HIVD01_16,HIVD01,16,1,Atlanta,2024-01-17,dunes,0.0041,0.25,hiv
HIVD01_17,HIVD01_17,HIVD01,17,1,Atlanta,2024-01-18,dunes,0.0041,0.25,hiv
HIVD01_18,HIVD01_18,HIVD01,18,1,Atlanta,2024-01-19,dunes,0.0041,0.25,hiv
HIVD01_19,HIVD01_19,HIVD01,19,1,Atlanta,2024-01-20,dunes,0.0041,0.25,hiv
HIVD01_20,HIVD01_20,HIVD01,20,1,Atlanta,2024-01-21,dunes,0.0041,0.25,hiv
HIVD01_21,HIVD01_21,HIVD01,21,1,Atlanta,2024-01-22,dunes,0.0041,0.25,hiv
HIVD01_22,HIVD01_22,HIVD01,22,1,Atlanta,2024-01-23,dunes,0.0041,0.25,hiv
HIVD01_23,HIVD01_23,HIVD01,23,1,Atlanta,2024-01-24,dunes,0.0041,0.25,hiv
HIVD01_24,HIVD01_24,HIVD01,24,1,Atlanta,2024-01-25,dunes,0.0041,0.25,hiv
HIVD01_25,HIVD01_25,HIVD01,25,1,Atlanta,2024-01-26,dunes,0.0041,0.25,hiv
