_id,sample_date,region,lineage,expected_snp_distance,expected_patristic_distance
ER500_0001,2015-01-01,North,Lineage 1,0,0.00206359
ER500_0002,2015-01-08,Central,Lineage 1,3,0.00199800
ER500_0003,2015-01-15,South,Lineage 1,0,0.00209291
ER500_0004,2015-01-22,West,Lineage 1,3,0.00202270
ER500_0005,2015-01-29,North,Lineage 1,2,0.00218886
ER500_0006,2015-02-05,Central,Lineage 1,1,0.00220055
ER500_0007,2015-02-12,South,Lineage 1,0,0.00204040
ER500_0008,2015-02-19,West,Lineage 1,0,0.00228242
ER500_0009,2015-02-26,North,Lineage 1,5,0.00211072
ER500_0010,2015-03-05,Central,Lineage 1,2,0.00216843
ER500_0011,2015-03-12,South,Lineage 1,1,0.00211487
ER500_0012,2015-03-19,West,Lineage 1,1,0.00230463
ER500_0013,2015-03-26,North,Lineage 1,2,0.00219294
ER500_0014,2015-04-02,Central,Lineage 1,6,0.00243704
ER500_0015,2015-04-09,South,Lineage 1,1,0.00247113
ER500_0016,2015-04-16,West,Lineage 1,4,0.00240267
ER500_0017,2015-04-23,North,Lineage 1,3,0.00247764
ER500_0018,2015-04-30,Central,Lineage 1,3,0.00241226
ER500_0019,2015-05-07,South,Lineage 1,3,0.00255592
ER500_0020,2015-05-14,West,Lineage 1,4,0.00245441
ER500_0021,2015-05-21,North,Lineage 1,9,0.00259211
ER500_0022,2015-05-28,Central,Lineage 1,2,0.00262574
ER500_0023,2015-06-04,South,Lineage 1,3,0.00244911
ER500_0024,2015-06-11,West,Lineage 1,6,0.00266688
ER500_0025,2015-06-18,North,Lineage 1,6,0.00257438
ER500_0026,2015-06-25,Central,Lineage 1,9,0.00265887
ER500_0027,2015-07-02,South,Lineage 1,8,0.00272364
ER500_0028,2015-07-09,West,Lineage 1,6,0.00270968
ER500_0029,2015-07-16,North,Lineage 1,8,0.00251763
ER500_0030,2015-07-23,Central,Lineage 1,3,0.00253561
ER500_0031,2015-07-30,South,Lineage 1,10,0.00282425
ER500_0032,2015-08-06,West,Lineage 1,5,0.00281714
ER500_0033,2015-08-13,North,Lineage 1,10,0.00283316
ER500_0034,2015-08-20,Central,Lineage 1,10,0.00278400
ER500_0035,2015-08-27,South,Lineage 1,7,0.00276495
ER500_0036,2015-09-03,West,Lineage 1,6,0.00265917
ER500_0037,2015-09-10,North,Lineage 1,7,0.00273233
ER500_0038,2015-09-17,Central,Lineage 1,10,0.00286639
ER500_0039,2015-09-24,South,Lineage 1,9,0.00274520
ER500_0040,2015-10-01,West,Lineage 1,12,0.00278097
ER500_0041,2015-10-08,North,Lineage 1,10,0.00292709
ER500_0042,2015-10-15,Central,Lineage 1,11,0.00307853
ER500_0043,2015-10-22,South,Lineage 1,11,0.00308489
ER500_0044,2015-10-29,West,Lineage 1,11,0.00291140
ER500_0045,2015-11-05,North,Lineage 1,10,0.00294933
ER500_0046,2015-11-12,Central,Lineage 1,6,0.00301730
ER500_0047,2015-11-19,South,Lineage 1,12,0.00297807
ER500_0048,2015-11-26,West,Lineage 1,11,0.00314011
ER500_0049,2015-12-03,North,Lineage 1,7,0.00298896
ER500_0050,2015-12-10,Central,Lineage 1,7,0.00321725
ER500_0051,2015-12-17,South,Lineage 1,12,0.00316535
ER500_0052,2015-12-24,West,Lineage 1,13,0.00316349
ER500_0053,2015-12-31,North,Lineage 1,11,0.00305078
ER500_0054,2016-01-07,Central,Lineage 1,9,0.00335580
ER500_0055,2016-01-14,South,Lineage 1,15,0.00322508
ER500_0056,2016-01-21,West,Lineage 1,15,0.00319907
ER500_0057,2016-01-28,North,Lineage 1,10,0.00332975
ER500_0058,2016-02-04,Central,Lineage 1,14,0.00332725
ER500_0059,2016-02-11,South,Lineage 1,12,0.00338346
ER500_0060,2016-02-18,West,Lineage 1,17,0.00326944
ER500_0061,2016-02-25,North,Lineage 1,10,0.00340614
ER500_0062,2016-03-03,Central,Lineage 1,14,0.00328598
ER500_0063,2016-03-10,South,Lineage 1,18,0.00334331
ER500_0064,2016-03-17,West,Lineage 1,12,0.00355406
ER500_0065,2016-03-24,North,Lineage 1,16,0.00355782
ER500_0066,2016-03-31,Central,Lineage 1,18,0.00355744
ER500_0067,2016-04-07,South,Lineage 1,18,0.00353129
ER500_0068,2016-04-14,West,Lineage 1,19,0.00341012
ER500_0069,2016-04-21,North,Lineage 1,17,0.00369239
ER500_0070,2016-04-28,Central,Lineage 1,14,0.00351858
ER500_0071,2016-05-05,South,Lineage 1,19,0.00366419
ER500_0072,2016-05-12,West,Lineage 1,19,0.00356225
ER500_0073,2016-05-19,North,Lineage 1,21,0.00379772
ER500_0074,2016-05-26,Central,Lineage 1,14,0.00364694
ER500_0075,2016-06-02,South,Lineage 1,16,0.00373394
ER500_0076,2016-06-09,West,Lineage 1,17,0.00366094
ER500_0077,2016-06-16,North,Lineage 1,19,0.00381133
ER500_0078,2016-06-23,Central,Lineage 1,18,0.00383838
ER500_0079,2016-06-30,South,Lineage 1,17,0.00381127
ER500_0080,2016-07-07,West,Lineage 1,16,0.00390967
ER500_0081,2016-07-14,North,Lineage 1,20,0.00380842
ER500_0082,2016-07-21,Central,Lineage 1,23,0.00399359
ER500_0083,2016-07-28,South,Lineage 1,18,0.00386822
ER500_0084,2016-08-04,West,Lineage 1,20,0.00386081
ER500_0085,2016-08-11,North,Lineage 1,21,0.00390878
ER500_0086,2016-08-18,Central,Lineage 1,21,0.00387341
ER500_0087,2016-08-25,South,Lineage 1,21,0.00391931
ER500_0088,2016-09-01,West,Lineage 1,19,0.00408028
ER500_0089,2016-09-08,North,Lineage 1,24,0.00390230
ER500_0090,2016-09-15,Central,Lineage 1,23,0.00402283
ER500_0091,2016-09-22,South,Lineage 1,21,0.00418155
ER500_0092,2016-09-29,West,Lineage 1,21,0.00408095
ER500_0093,2016-10-06,North,Lineage 1,25,0.00409337
ER500_0094,2016-10-13,Central,Lineage 1,25,0.00416374
ER500_0095,2016-10-20,South,Lineage 1,21,0.00405307
ER500_0096,2016-10-27,West,Lineage 1,19,0.00432477
ER500_0097,2016-11-03,North,Lineage 1,20,0.00406391
ER500_0098,2016-11-10,Central,Lineage 1,21,0.00415650
ER500_0099,2016-11-17,South,Lineage 1,22,0.00411069
ER500_0100,2016-11-24,West,Lineage 1,20,0.00419368
ER500_0101,2016-12-01,North,Lineage 2,23,0.00415526
ER500_0102,2016-12-08,Central,Lineage 2,21,0.00423019
ER500_0103,2016-12-15,South,Lineage 2,26,0.00422603
ER500_0104,2016-12-22,West,Lineage 2,23,0.00432926
ER500_0105,2016-12-29,North,Lineage 2,23,0.00426872
ER500_0106,2017-01-05,Central,Lineage 2,22,0.00448163
ER500_0107,2017-01-12,South,Lineage 2,25,0.00440063
ER500_0108,2017-01-19,West,Lineage 2,21,0.00434129
ER500_0109,2017-01-26,North,Lineage 2,24,0.00448514
ER500_0110,2017-02-02,Central,Lineage 2,22,0.00454336
ER500_0111,2017-02-09,South,Lineage 2,27,0.00441950
ER500_0112,2017-02-16,West,Lineage 2,24,0.00458449
ER500_0113,2017-02-23,North,Lineage 2,26,0.00450234
ER500_0114,2017-03-02,Central,Lineage 2,22,0.00461951
ER500_0115,2017-03-09,South,Lineage 2,28,0.00472340
ER500_0116,2017-03-16,West,Lineage 2,27,0.00450466
ER500_0117,2017-03-23,North,Lineage 2,27,0.00459256
ER500_0118,2017-03-30,Central,Lineage 2,25,0.00459178
ER500_0119,2017-04-06,South,Lineage 2,24,0.00460046
ER500_0120,2017-04-13,West,Lineage 2,30,0.00475340
ER500_0121,2017-04-20,North,Lineage 2,26,0.00477788
ER500_0122,2017-04-27,Central,Lineage 2,25,0.00479318
ER500_0123,2017-05-04,South,Lineage 2,27,0.00489594
ER500_0124,2017-05-11,West,Lineage 2,25,0.00497148
ER500_0125,2017-05-18,North,Lineage 2,29,0.00492454
ER500_0126,2017-05-25,Central,Lineage 2,30,0.00485084
ER500_0127,2017-06-01,South,Lineage 2,31,0.00504096
ER500_0128,2017-06-08,West,Lineage 2,31,0.00504089
