source,target,distance
LG00001,LG00002,4.000
LG00002,LG00003,5.000
LG00003,LG00004,6.000
LG00004,LG00005,7.000
LG00005,LG00006,8.000
LG00006,LG00007,9.000
LG00007,LG00008,10.000
LG00008,LG00009,11.000
LG00009,LG00010,4.000
LG00010,LG00011,5.000
LG00011,LG00012,6.000
LG00012,LG00013,7.000
LG00013,LG00014,8.000
LG00014,LG00015,9.000
LG00015,LG00016,10.000
LG00016,LG00017,11.000
LG00017,LG00018,4.000
LG00018,LG00019,5.000
LG00019,LG00020,6.000
LG00020,LG00021,7.000
LG00021,LG00022,8.000
LG00022,LG00023,9.000
LG00023,LG00024,10.000
LG00024,LG00025,11.000
LG00025,LG00026,4.000
LG00026,LG00027,5.000
LG00027,LG00028,6.000
LG00028,LG00029,7.000
LG00029,LG00030,8.000
LG00030,LG00031,9.000
LG00031,LG00032,10.000
LG00032,LG00033,11.000
LG00033,LG00034,4.000
LG00034,LG00035,5.000
LG00035,LG00036,6.000
LG00036,LG00037,7.000
LG00037,LG00038,8.000
LG00038,LG00039,9.000
LG00039,LG00040,10.000
LG00040,LG00041,11.000
LG00041,LG00042,4.000
LG00042,LG00043,5.000
LG00043,LG00044,6.000
LG00044,LG00045,7.000
LG00045,LG00046,8.000
LG00046,LG00047,9.000
LG00047,LG00048,10.000
LG00048,LG00049,11.000
LG00049,LG00050,4.000
LG00050,LG00051,5.000
LG00051,LG00052,6.000
LG00052,LG00053,7.000
LG00053,LG00054,8.000
LG00054,LG00055,9.000
LG00055,LG00056,10.000
LG00056,LG00057,11.000
LG00057,LG00058,4.000
LG00058,LG00059,5.000
LG00059,LG00060,6.000
LG00060,LG00061,7.000
LG00061,LG00062,8.000
LG00062,LG00063,9.000
LG00063,LG00064,10.000
LG00064,LG00065,11.000
LG00065,LG00066,4.000
LG00066,LG00067,5.000
LG00067,LG00068,6.000
LG00068,LG00069,7.000
LG00069,LG00070,8.000
LG00070,LG00071,9.000
LG00071,LG00072,10.000
LG00072,LG00073,11.000
LG00073,LG00074,4.000
LG00074,LG00075,5.000
LG00075,LG00076,6.000
LG00076,LG00077,7.000
LG00077,LG00078,8.000
LG00078,LG00079,9.000
LG00079,LG00080,10.000
LG00080,LG00081,11.000
LG00081,LG00082,4.000
LG00082,LG00083,5.000
LG00083,LG00084,6.000
LG00084,LG00085,7.000
LG00085,LG00086,8.000
LG00086,LG00087,9.000
LG00087,LG00088,10.000
LG00088,LG00089,11.000
LG00089,LG00090,4.000
LG00090,LG00091,5.000
LG00091,LG00092,6.000
LG00092,LG00093,7.000
LG00093,LG00094,8.000
LG00094,LG00095,9.000
LG00095,LG00096,10.000
LG00096,LG00097,11.000
LG00097,LG00098,4.000
LG00098,LG00099,5.000
LG00099,LG00100,6.000
LG00100,LG00101,7.000
LG00101,LG00102,8.000
LG00102,LG00103,9.000
LG00103,LG00104,10.000
LG00104,LG00105,11.000
LG00105,LG00106,4.000
LG00106,LG00107,5.000
LG00107,LG00108,6.000
LG00108,LG00109,7.000
LG00109,LG00110,8.000
LG00110,LG00111,9.000
LG00111,LG00112,10.000
LG00112,LG00113,11.000
LG00113,LG00114,4.000
LG00114,LG00115,5.000
LG00115,LG00116,6.000
LG00116,LG00117,7.000
LG00117,LG00118,8.000
LG00118,LG00119,9.000
LG00119,LG00120,10.000
LG00120,LG00121,11.000
LG00121,LG00122,4.000
LG00122,LG00123,5.000
LG00123,LG00124,6.000
LG00124,LG00125,7.000
LG00125,LG00126,8.000
LG00126,LG00127,9.000
LG00127,LG00128,10.000
LG00128,LG00129,11.000
LG00129,LG00130,4.000
LG00130,LG00131,5.000
LG00131,LG00132,6.000
LG00132,LG00133,7.000
LG00133,LG00134,8.000
LG00134,LG00135,9.000
LG00135,LG00136,10.000
LG00136,LG00137,11.000
LG00137,LG00138,4.000
LG00138,LG00139,5.000
LG00139,LG00140,6.000
LG00140,LG00141,7.000
LG00141,LG00142,8.000
LG00142,LG00143,9.000
LG00143,LG00144,10.000
LG00144,LG00145,11.000
LG00145,LG00146,4.000
LG00146,LG00147,5.000
LG00147,LG00148,6.000
LG00148,LG00149,7.000
LG00149,LG00150,8.000
LG00150,LG00151,9.000
LG00151,LG00152,10.000
LG00152,LG00153,11.000
LG00153,LG00154,4.000
LG00154,LG00155,5.000
LG00155,LG00156,6.000
LG00156,LG00157,7.000
LG00157,LG00158,8.000
LG00158,LG00159,9.000
LG00159,LG00160,10.000
LG00160,LG00161,11.000
LG00161,LG00162,4.000
LG00162,LG00163,5.000
LG00163,LG00164,6.000
LG00164,LG00165,7.000
LG00165,LG00166,8.000
LG00166,LG00167,9.000
LG00167,LG00168,10.000
