"_id","seq_id","location","location_state_index","sample_date","simulation_generation"
"PM500_0001","PM500_0001","West",4,"2024-01-05",0.05930754
"PM500_0002","PM500_0002","Northeast",1,"2024-01-03",0.05930754
"PM500_0003","PM500_0003","International",5,"2024-01-08",0.05930754
"PM500_0004","PM500_0004","Midwest",3,"2024-01-07",0.05930754
"PM500_0005","PM500_0005","Northeast",1,"2024-01-06",0.05930754
"PM500_0006","PM500_0006","South",2,"2024-01-08",0.05930754
"PM500_0007","PM500_0007","West",4,"2024-01-11",0.05930754
"PM500_0008","PM500_0008","Northeast",1,"2024-01-09",0.05930754
"PM500_0009","PM500_0009","Northeast",1,"2024-01-10",0.05930754
"PM500_0010","PM500_0010","West",4,"2024-01-14",0.05930754
"PM500_0011","PM500_0011","West",4,"2024-01-15",0.05930754
"PM500_0012","PM500_0012","South",2,"2024-01-14",0.05930754
"PM500_0013","PM500_0013","South",2,"2024-01-15",0.05930754
"PM500_0014","PM500_0014","South",2,"2024-01-16",0.05930754
"PM500_0015","PM500_0015","Midwest",3,"2024-01-18",0.05930754
"PM500_0016","PM500_0016","Northeast",1,"2024-01-17",0.05930754
"PM500_0017","PM500_0017","International",5,"2024-01-22",0.05930754
"PM500_0018","PM500_0018","West",4,"2024-01-22",0.05930754
"PM500_0019","PM500_0019","Northeast",1,"2024-01-20",0.05930754
"PM500_0020","PM500_0020","Northeast",1,"2024-01-21",0.05930754
"PM500_0021","PM500_0021","Midwest",3,"2024-01-24",0.05930754
"PM500_0022","PM500_0022","Midwest",3,"2024-01-25",0.05930754
"PM500_0023","PM500_0023","West",4,"2024-01-27",0.05930754
"PM500_0024","PM500_0024","Midwest",3,"2024-01-27",0.05930754
"PM500_0025","PM500_0025","Northeast",1,"2024-01-26",0.05930754
"PM500_0026","PM500_0026","South",2,"2024-01-28",0.05930754
"PM500_0027","PM500_0027","Northeast",1,"2024-01-28",0.05930754
"PM500_0028","PM500_0028","Northeast",1,"2024-01-29",0.05930754
"PM500_0029","PM500_0029","South",2,"2024-01-31",0.05930754
"PM500_0030","PM500_0030","South",2,"2024-02-01",0.05930754
"PM500_0031","PM500_0031","Midwest",3,"2024-02-03",0.05930754
"PM500_0032","PM500_0032","West",4,"2024-02-05",0.05930754
"PM500_0033","PM500_0033","International",5,"2024-02-07",0.05930754
"PM500_0034","PM500_0034","Northeast",1,"2024-02-04",0.05930754
"PM500_0035","PM500_0035","Northeast",1,"2024-02-05",0.05930754
"PM500_0036","PM500_0036","South",2,"2024-02-07",0.05930754
"PM500_0037","PM500_0037","South",2,"2024-02-08",0.05930754
"PM500_0038","PM500_0038","Northeast",1,"2024-02-08",0.05930754
"PM500_0039","PM500_0039","Northeast",1,"2024-02-09",0.05930754
"PM500_0040","PM500_0040","Northeast",1,"2024-02-10",0.05930754
"PM500_0041","PM500_0041","International",5,"2024-02-15",0.05930754
"PM500_0042","PM500_0042","Midwest",3,"2024-02-14",0.05930754
"PM500_0043","PM500_0043","West",4,"2024-02-16",0.05930754
"PM500_0044","PM500_0044","Midwest",3,"2024-02-16",0.05930754
"PM500_0045","PM500_0045","South",2,"2024-02-16",0.05930754
"PM500_0046","PM500_0046","Midwest",3,"2024-02-18",0.05930754
"PM500_0047","PM500_0047","South",2,"2024-02-18",0.05930754
