source,target,distance
SG00001,SG00002,4.000
SG00002,SG00003,5.000
SG00003,SG00004,6.000
SG00004,SG00005,7.000
SG00005,SG00006,8.000
SG00006,SG00007,9.000
SG00007,SG00008,10.000
SG00008,SG00009,11.000
SG00009,SG00010,4.000
SG00010,SG00011,5.000
SG00011,SG00012,6.000
SG00012,SG00013,7.000
SG00013,SG00014,8.000
SG00014,SG00015,9.000
SG00015,SG00016,10.000
SG00016,SG00017,11.000
SG00017,SG00018,4.000
SG00018,SG00019,5.000
SG00019,SG00020,6.000
SG00020,SG00021,7.000
SG00021,SG00022,8.000
SG00022,SG00023,9.000
SG00023,SG00024,10.000
SG00024,SG00025,11.000
SG00025,SG00026,4.000
SG00026,SG00027,5.000
SG00027,SG00028,6.000
SG00028,SG00029,7.000
SG00029,SG00030,8.000
SG00030,SG00031,9.000
SG00031,SG00032,10.000
SG00032,SG00033,11.000
SG00033,SG00034,4.000
SG00034,SG00035,5.000
SG00035,SG00036,6.000
SG00036,SG00037,7.000
SG00037,SG00038,8.000
SG00038,SG00039,9.000
SG00039,SG00040,10.000
SG00040,SG00041,11.000
SG00041,SG00042,4.000
SG00042,SG00043,5.000
SG00043,SG00044,6.000
SG00044,SG00045,7.000
SG00045,SG00046,8.000
SG00046,SG00047,9.000
SG00047,SG00048,10.000
SG00048,SG00049,11.000
SG00049,SG00050,4.000
SG00050,SG00051,5.000
SG00051,SG00052,6.000
SG00052,SG00053,7.000
SG00053,SG00054,8.000
SG00054,SG00055,9.000
SG00055,SG00056,10.000
SG00056,SG00057,11.000
SG00057,SG00058,4.000
SG00058,SG00059,5.000
SG00059,SG00060,6.000
SG00060,SG00061,7.000
SG00061,SG00062,8.000
SG00062,SG00063,9.000
SG00063,SG00064,10.000
SG00064,SG00065,11.000
SG00065,SG00066,4.000
SG00066,SG00067,5.000
SG00067,SG00068,6.000
SG00068,SG00069,7.000
SG00069,SG00070,8.000
SG00070,SG00071,9.000
SG00071,SG00072,10.000
SG00072,SG00073,11.000
SG00073,SG00074,4.000
SG00074,SG00075,5.000
SG00075,SG00076,6.000
SG00076,SG00077,7.000
SG00077,SG00078,8.000
SG00078,SG00079,9.000
SG00079,SG00080,10.000
SG00080,SG00081,11.000
SG00081,SG00082,4.000
SG00082,SG00083,5.000
SG00083,SG00084,6.000
SG00084,SG00085,7.000
SG00085,SG00086,8.000
SG00086,SG00087,9.000
SG00087,SG00088,10.000
SG00088,SG00089,11.000
SG00089,SG00090,4.000
SG00090,SG00091,5.000
SG00091,SG00092,6.000
SG00092,SG00093,7.000
SG00093,SG00094,8.000
SG00094,SG00095,9.000
SG00095,SG00096,10.000
SG00096,SG00097,11.000
SG00097,SG00098,4.000
SG00098,SG00099,5.000
SG00099,SG00100,6.000
SG00100,SG00101,7.000
SG00101,SG00102,8.000
SG00102,SG00103,9.000
SG00103,SG00104,10.000
SG00104,SG00105,11.000
SG00105,SG00106,4.000
SG00106,SG00107,5.000
SG00107,SG00108,6.000
SG00108,SG00109,7.000
SG00109,SG00110,8.000
SG00110,SG00111,9.000
SG00111,SG00112,10.000
SG00112,SG00113,11.000
SG00113,SG00114,4.000
SG00114,SG00115,5.000
SG00115,SG00116,6.000
SG00116,SG00117,7.000
SG00117,SG00118,8.000
SG00118,SG00119,9.000
SG00119,SG00120,10.000
SG00120,SG00121,11.000
SG00121,SG00122,4.000
SG00122,SG00123,5.000
SG00123,SG00124,6.000
SG00124,SG00125,7.000
SG00125,SG00126,8.000
SG00126,SG00127,9.000
SG00127,SG00128,10.000
SG00128,SG00129,11.000
SG00129,SG00130,4.000
SG00130,SG00131,5.000
SG00131,SG00132,6.000
SG00132,SG00133,7.000
SG00133,SG00134,8.000
SG00134,SG00135,9.000
SG00135,SG00136,10.000
SG00136,SG00137,11.000
SG00137,SG00138,4.000
SG00138,SG00139,5.000
SG00139,SG00140,6.000
SG00140,SG00141,7.000
SG00141,SG00142,8.000
SG00142,SG00143,9.000
SG00143,SG00144,10.000
SG00144,SG00145,11.000
SG00145,SG00146,4.000
SG00146,SG00147,5.000
SG00147,SG00148,6.000
SG00148,SG00149,7.000
SG00149,SG00150,8.000
SG00150,SG00151,9.000
SG00151,SG00152,10.000
SG00152,SG00153,11.000
SG00153,SG00154,4.000
SG00154,SG00155,5.000
SG00155,SG00156,6.000
SG00156,SG00157,7.000
SG00157,SG00158,8.000
SG00158,SG00159,9.000
SG00159,SG00160,10.000
SG00160,SG00161,11.000
SG00161,SG00162,4.000
SG00162,SG00163,5.000
SG00163,SG00164,6.000
SG00164,SG00165,7.000
SG00165,SG00166,8.000
SG00166,SG00167,9.000
SG00167,SG00168,10.000
SG00168,SG00169,11.000
SG00169,SG00170,4.000
SG00170,SG00171,5.000
SG00171,SG00172,6.000
SG00172,SG00173,7.000
SG00173,SG00174,8.000
SG00174,SG00175,9.000
SG00175,SG00176,10.000
SG00176,SG00177,11.000
SG00177,SG00178,4.000
SG00178,SG00179,5.000
SG00179,SG00180,6.000
SG00180,SG00181,7.000
SG00181,SG00182,8.000
SG00182,SG00183,9.000
SG00183,SG00184,10.000
SG00184,SG00185,11.000
SG00185,SG00186,4.000
SG00186,SG00187,5.000
SG00187,SG00188,6.000
SG00188,SG00189,7.000
SG00189,SG00190,8.000
SG00190,SG00191,9.000
SG00191,SG00192,10.000
SG00192,SG00193,11.000
SG00193,SG00194,4.000
SG00194,SG00195,5.000
SG00195,SG00196,6.000
SG00196,SG00197,7.000
SG00197,SG00198,8.000
SG00198,SG00199,9.000
SG00199,SG00200,10.000
SG00200,SG00201,11.000
SG00201,SG00202,4.000
SG00202,SG00203,5.000
SG00203,SG00204,6.000
SG00204,SG00205,7.000
SG00205,SG00206,8.000
SG00206,SG00207,9.000
SG00207,SG00208,10.000
SG00208,SG00209,11.000
SG00209,SG00210,4.000
SG00210,SG00211,5.000
SG00211,SG00212,6.000
SG00212,SG00213,7.000
SG00213,SG00214,8.000
SG00214,SG00215,9.000
SG00215,SG00216,10.000
SG00216,SG00217,11.000
SG00217,SG00218,4.000
SG00218,SG00219,5.000
SG00219,SG00220,6.000
SG00220,SG00221,7.000
SG00221,SG00222,8.000
SG00222,SG00223,9.000
SG00223,SG00224,10.000
SG00224,SG00225,11.000
SG00225,SG00226,4.000
SG00226,SG00227,5.000
SG00227,SG00228,6.000
SG00228,SG00229,7.000
SG00229,SG00230,8.000
SG00230,SG00231,9.000
SG00231,SG00232,10.000
SG00232,SG00233,11.000
SG00233,SG00234,4.000
SG00234,SG00235,5.000
SG00235,SG00236,6.000
SG00236,SG00237,7.000
SG00237,SG00238,8.000
SG00238,SG00239,9.000
SG00239,SG00240,10.000
SG00240,SG00241,11.000
SG00241,SG00242,4.000
SG00242,SG00243,5.000
SG00243,SG00244,6.000
SG00244,SG00245,7.000
SG00245,SG00246,8.000
SG00246,SG00247,9.000
SG00247,SG00248,10.000
SG00248,SG00249,11.000
SG00249,SG00250,4.000
SG00250,SG00251,5.000
SG00251,SG00252,6.000
SG00252,SG00253,7.000
SG00253,SG00254,8.000
SG00254,SG00255,9.000
SG00255,SG00256,10.000
SG00256,SG00257,11.000
SG00257,SG00258,4.000
SG00258,SG00259,5.000
SG00259,SG00260,6.000
SG00260,SG00261,7.000
SG00261,SG00262,8.000
SG00262,SG00263,9.000
SG00263,SG00264,10.000
SG00264,SG00265,11.000
SG00265,SG00266,4.000
SG00266,SG00267,5.000
SG00267,SG00268,6.000
SG00268,SG00269,7.000
SG00269,SG00270,8.000
SG00270,SG00271,9.000
SG00271,SG00272,10.000
SG00272,SG00273,11.000
SG00273,SG00274,4.000
SG00274,SG00275,5.000
SG00275,SG00276,6.000
SG00276,SG00277,7.000
SG00277,SG00278,8.000
SG00278,SG00279,9.000
SG00279,SG00280,10.000
SG00280,SG00281,11.000
SG00281,SG00282,4.000
SG00282,SG00283,5.000
SG00283,SG00284,6.000
SG00284,SG00285,7.000
SG00285,SG00286,8.000
SG00286,SG00287,9.000
SG00287,SG00288,10.000
SG00288,SG00289,11.000
SG00289,SG00290,4.000
SG00290,SG00291,5.000
SG00291,SG00292,6.000
SG00292,SG00293,7.000
SG00293,SG00294,8.000
SG00294,SG00295,9.000
SG00295,SG00296,10.000
SG00296,SG00297,11.000
SG00297,SG00298,4.000
SG00298,SG00299,5.000
SG00299,SG00300,6.000
SG00300,SG00301,7.000
SG00301,SG00302,8.000
SG00302,SG00303,9.000
SG00303,SG00304,10.000
SG00304,SG00305,11.000
SG00305,SG00306,4.000
SG00306,SG00307,5.000
SG00307,SG00308,6.000
SG00308,SG00309,7.000
SG00309,SG00310,8.000
SG00310,SG00311,9.000
SG00311,SG00312,10.000
SG00312,SG00313,11.000
SG00313,SG00314,4.000
SG00314,SG00315,5.000
SG00315,SG00316,6.000
SG00316,SG00317,7.000
SG00317,SG00318,8.000
SG00318,SG00319,9.000
SG00319,SG00320,10.000
SG00320,SG00321,11.000
SG00321,SG00322,4.000
SG00322,SG00323,5.000
SG00323,SG00324,6.000
SG00324,SG00325,7.000
SG00325,SG00326,8.000
SG00326,SG00327,9.000
SG00327,SG00328,10.000
SG00328,SG00329,11.000
SG00329,SG00330,4.000
SG00330,SG00331,5.000
