ID,No. of measles cases in 2025,Measles case count,No. of MMR doses administered in 2025,Cumulative MMR doses administered in 2025,No. of MMR doses administered during the same period in 2024,Cumulative MMR doses administered during the same period in 2024
NM-2025-001,2025-01-01,0,2025-01-01,0,2025-01-01,0
NM-2025-002,2025-01-02,0,2025-01-02,158,2025-01-02,132
NM-2025-003,2025-01-03,0,2025-01-03,303,2025-01-03,281
NM-2025-004,2025-01-04,0,2025-01-04,434,2025-01-04,447
NM-2025-005,2025-01-05,0,2025-01-05,601,2025-01-05,570
NM-2025-006,2025-01-06,0,2025-01-06,754,2025-01-06,709
NM-2025-007,2025-01-07,0,2025-01-07,894,2025-01-07,865
NM-2025-008,2025-01-08,0,2025-01-08,1020,2025-01-08,1038
NM-2025-009,2025-01-09,0,2025-01-09,1182,2025-01-09,1167
NM-2025-010,2025-01-10,0,2025-01-10,1331,2025-01-10,1313
NM-2025-011,2025-01-11,0,2025-01-11,1465,2025-01-11,1476
NM-2025-012,2025-01-12,0,2025-01-12,1636,2025-01-12,1595
NM-2025-013,2025-01-13,0,2025-01-13,1794,2025-01-13,1732
NM-2025-014,2025-01-14,0,2025-01-14,1937,2025-01-14,1885
NM-2025-015,2025-01-15,0,2025-01-15,2067,2025-01-15,2055
NM-2025-016,2025-01-16,0,2025-01-16,2233,2025-01-16,2181
NM-2025-017,2025-01-17,0,2025-01-17,2386,2025-01-17,2324
NM-2025-018,2025-01-18,0,2025-01-18,2525,2025-01-18,2484
NM-2025-019,2025-01-19,0,2025-01-19,2650,2025-01-19,2600
NM-2025-020,2025-01-20,0,2025-01-20,2811,2025-01-20,2734
NM-2025-021,2025-01-21,0,2025-01-21,2958,2025-01-21,2884
NM-2025-022,2025-01-22,0,2025-01-22,3092,2025-01-22,3051
NM-2025-023,2025-01-23,0,2025-01-23,3262,2025-01-23,3174
NM-2025-024,2025-01-24,0,2025-01-24,3418,2025-01-24,3314
NM-2025-025,2025-01-25,0,2025-01-25,3561,2025-01-25,3471
NM-2025-026,2025-01-26,0,2025-01-26,3690,2025-01-26,3645
NM-2025-027,2025-01-27,0,2025-01-27,3855,2025-01-27,3776
NM-2025-028,2025-01-28,0,2025-01-28,4007,2025-01-28,3923
NM-2025-029,2025-01-29,0,2025-01-29,4144,2025-01-29,4087
NM-2025-030,2025-01-30,0,2025-01-30,4268,2025-01-30,4207
NM-2025-031,2025-01-31,0,2025-01-31,4429,2025-01-31,4344
NM-2025-032,2025-02-01,0,2025-02-01,4575,2025-02-01,4498
NM-2025-033,2025-02-02,0,2025-02-02,4708,2025-02-02,4669
